Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Cody White,PIT,-,-,2,-,1,,,,,,,,,,,,,,3,1.5
Auden Tate,CIN,-,-,1,1,1,,,,,,,,,,,,,,3,1
N'Keal Harry,NE,-,-,-,1,2,,,,,,,,,,,,,,3,1.5
Travis Benjamin,SF,-,-,-,-,3,,,,,,,,,,,,,,3,3
Andre Roberts,HOU,0,2,0,0,0,,,,,,,,,,,,,,2,0.4
Isaiah McKenzie,BUF,0,2,0,0,0,,,,,,,,,,,,,,2,0.4
Jakeem Grant Sr.,CHI,0,1,0,1,0,,,,,,,,,,,,,,2,0.4
Mack Hollins,MIA,0,0,0,-,2,,,,,,,,,,,,,,2,0.5
Lil'Jordan Humphrey,NO,-,2,-,-,-,,,,,,,,,,,,,,2,2
Equanimeous St. Brown,GB,-,1,-,1,0,,,,,,,,,,,,,,2,0.7
David Moore,DEN,-,-,-,-,2,,,,,,,,,,,,,,2,2
Devin Smith,JAC,1,-,-,-,-,,,,,,,,,,,,,,1,1
D'Wayne Eskridge,SEA,1,-,-,-,-,,,,,,,,,,,,,,1,1
Alex Erickson,CAR,0,0,1,0,0,,,,,,,,,,,,,,1,0.2
Marcus Kemp,KC,0,-,1,0,0,,,,,,,,,,,,,,1,0.3
Amari Rodgers,GB,1,0,0,0,0,,,,,,,,,,,,,,1,0.2
Laquon Treadwell,JAC,-,1,-,-,-,,,,,,,,,,,,,,1,1
Jake Kumerow,BUF,-,1,-,0,-,,,,,,,,,,,,,,1,0.5
Racey McMath,TEN,-,0,1,-,-,,,,,,,,,,,,,,1,0.5
Phillip Dorsett II,JAC,-,-,1,-,-,,,,,,,,,,,,,,1,1
Jaelon Darden,TB,-,-,1,-,-,,,,,,,,,,,,,,1,1
Trenton Irwin,CIN,-,-,-,1,-,,,,,,,,,,,,,,1,1
Isaiah Ford,MIA,-,-,-,-,1,,,,,,,,,,,,,,1,1
Dax Milne,WAS,-,-,-,-,1,,,,,,,,,,,,,,1,1
Josh Gordon,KC,-,-,-,-,1,,,,,,,,,,,,,,1,1
Jaydon Mickens,TB,0,0,0,0,0,,,,,,,,,,,,,,0,0
Ihmir Smith-Marsette,MIN,0,0,0,-,-,,,,,,,,,,,,,,0,0
Justin Hardee,NYJ,0,-,0,0,0,,,,,,,,,,,,,,0,0
J.J. Arcega-Whiteside,PHI,0,-,-,0,-,,,,,,,,,,,,,,0,0
Gunner Olszewski,NE,0,0,0,0,0,,,,,,,,,,,,,,0,0
Nsimba Webster,CHI,0,0,0,0,-,,,,,,,,,,,,,,0,0
Tom Kennedy,DET,0,-,-,-,-,,,,,,,,,,,,,,0,0
Stanley Morgan Jr.,CIN,-,0,-,-,0,,,,,,,,,,,,,,0,0
Tutu Atwell,LAR,-,0,0,0,0,,,,,,,,,,,,,,0,0
Matthew Slater,NE,-,0,-,0,0,,,,,,,,,,,,,,0,0
Andy Isabella,ARI,-,0,-,-,-,,,,,,,,,,,,,,0,0
Ben Skowronek,LAR,-,-,0,-,0,,,,,,,,,,,,,,0,0
Brandon Smith,DAL,-,-,-,0,-,,,,,,,,,,,,,,0,0
Tylan Wallace,BAL,-,-,-,0,0,,,,,,,,,,,,,,0,0
Tyrie Cleveland,DEN,-,-,-,-,0,,,,,,,,,,,,,,0,0
